r2_threshold_label,window,cagr,cagr_delta_pp,maxdd,maxdd_delta_pp,sharpe,sharpe_delta,trades,trades_delta,cost_sum,cost_delta
none,from_2020,0.555854207179292,-3.2452360305726513,-0.20058309694647392,-2.0042517859263476,1.8109835101516043,-0.08780629229253223,1360,91,0.40918802016274547,0.0002719317784928288
none,5Y,0.5803178478521172,-6.3487929507564544,-0.2005830969464738,-2.0042517859263254,1.9001485923457704,-0.16882340461609102,1038,78,0.3259052906525902,0.00348438176277871
none,3Y,0.9673235281931674,-4.991289179550051,-0.16528132123836003,0.02246757637854868,2.6595115486580565,-0.10314639671966574,631,20,0.19881526453373183,0.007167583588521931
none,1Y,0.8163033611974542,-13.824355877058924,-0.1394407776012282,-1.1927557957793211,2.4789630866495536,-0.35735741967152324,223,9,0.07858493052666149,0.004857552940471063
r2_ge_0p100,from_2020,0.5874735895315042,-0.08329779535143356,-0.17013997593746055,1.0400603149749887,1.8955557682797142,-0.0032340341644223614,1293,24,0.41496040345650487,0.0060443150722522265
r2_ge_0p100,5Y,0.6405481519002878,-0.3257625459393898,-0.17013997593746066,1.0400603149749887,2.061051999254959,-0.007919997706902215,978,18,0.3261521935092788,0.003731284619467312
r2_ge_0p100,3Y,1.0005270306606824,-1.670938932798549,-0.16432315045751544,0.11828465446300784,2.725650924959888,-0.0370070204178341,614,3,0.19619877876129715,0.004551097816087257
r2_ge_0p100,1Y,0.8732533556293298,-8.12935643387136,-0.13944077760122742,-1.1927557957792434,2.645219939679094,-0.19110056664198272,217,3,0.07528963073480821,0.0015622531486177843
r2_ge_0p200,from_2020,0.5883065674850185,0.0,-0.18054057908721044,0.0,1.8987898024441365,0.0,1269,0,0.40891608838425264,0.0
r2_ge_0p200,5Y,0.6438057773596817,0.0,-0.18054057908721055,0.0,2.0689719969618614,0.0,960,0,0.3224209088898115,0.0
r2_ge_0p200,3Y,1.0172364199886679,0.0,-0.16550599700214552,0.0,2.7626579453777222,0.0,611,0,0.1916476809452099,0.0
r2_ge_0p200,1Y,0.9545469199680434,0.0,-0.12751321964343498,0.0,2.836320506321077,0.0,214,0,0.07372737758619043,0.0
r2_ge_0p300,from_2020,0.5284941811499533,-5.981238633506525,-0.1721716228154121,0.8368956271798345,1.7699328720082246,-0.12885693043591195,1215,-54,0.41398194346200706,0.005065855077754422
r2_ge_0p300,5Y,0.5846097650468796,-5.919601231280214,-0.1721716228154121,0.8368956271798456,1.9409164722737138,-0.12805552468814763,914,-46,0.3237566180807486,0.0013357091909371177
r2_ge_0p300,3Y,0.9168721570020724,-10.036426298659551,-0.17217162281541198,-0.6665625813266463,2.5709786570386632,-0.191679288339059,604,-7,0.19595319547252066,0.004305514527310761
r2_ge_0p300,1Y,0.8749615701573483,-7.958534981069509,-0.09286307815250627,3.465014149092871,2.673516499275093,-0.16280400704598375,216,2,0.07829107004916731,0.004563692462976887
r2_ge_0p400,from_2020,0.42033561558649635,-16.797095189852218,-0.25435343431911583,-7.38128552319054,1.4961364898273122,-0.40265331261682435,1140,-129,0.4331020299973033,0.024185941613050654
r2_ge_0p400,5Y,0.43739608273424846,-20.640969462543325,-0.2543534343191157,-7.381285523190517,1.5693943212913004,-0.499577675670561,858,-102,0.3399782830292316,0.0175573741394201
r2_ge_0p400,3Y,0.6980759612358041,-31.91604587528638,-0.2543534343191156,-8.884743731697009,2.1389105668672244,-0.6237473785104979,575,-36,0.20840067910701654,0.016752998161806643
r2_ge_0p400,1Y,0.8036974415369615,-15.084947843108187,-0.13541686725059177,-0.7903647607156783,2.4760886767364223,-0.3602318295846545,194,-20,0.07729567189346007,0.00356829430726964
r2_ge_0p426,from_2020,0.3845502164553267,-20.37563510296918,-0.2736713617609905,-9.313078267378005,1.3954021889917085,-0.503387613452428,1093,-176,0.4351322021860381,0.026216113801785457
r2_ge_0p426,5Y,0.41131274891315295,-23.249302844652874,-0.2736713617609906,-9.313078267378005,1.4939031442142112,-0.5750688527476502,820,-140,0.34333341490513014,0.020912506015318633
r2_ge_0p426,3Y,0.6509508686920689,-36.6285551296599,-0.2736713617609906,-10.816536475884508,2.0275876897015825,-0.7350702556761397,554,-57,0.2140305116657113,0.0223828307205014
r2_ge_0p426,1Y,0.760513551753828,-19.403336821421547,-0.15188978660410102,-2.4376566960666035,2.3838542432593863,-0.45246626306169047,190,-24,0.07893691553008693,0.005209537943896503
r2_ge_0p500,from_2020,0.3176411942778752,-27.066537320714335,-0.26391277957383474,-8.33722004866243,1.2135580481803196,-0.6852317542638169,950,-319,0.4338390511763536,0.024922962792100933
r2_ge_0p500,5Y,0.36016932517692846,-28.363645218275323,-0.26391277957383463,-8.337220048662408,1.3644840832985274,-0.704487913663334,716,-244,0.33909589786886674,0.016674988979055227
r2_ge_0p500,3Y,0.5961303133644411,-42.11061066242267,-0.26391277957383474,-9.840678257168921,1.9207551920731363,-0.841902753304586,495,-116,0.21010109774728564,0.01845341680207574
r2_ge_0p500,1Y,0.7738121858920064,-18.0734734076037,-0.1335930786826548,-0.6079859039219815,2.406111221591816,-0.4302092847292607,172,-42,0.07431105459162553,0.0005836770054351015
r2_ge_0p600,from_2020,0.3619717299220324,-22.63348375629861,-0.20048420681604495,-1.9943627728834512,1.3963993388256923,-0.5023904636184442,704,-565,0.4018971424549752,-0.0070189459292774314
r2_ge_0p600,5Y,0.41184144819768664,-23.196432916199505,-0.14958054875921223,3.0960030327998322,1.5915278408980589,-0.4774441560638025,524,-436,0.3155735905354422,-0.006847318354369303
r2_ge_0p600,3Y,0.6685820227849275,-34.865439720374034,-0.13479689942517203,3.0709097576973488,2.1813872100889053,-0.5812707352888169,378,-233,0.19062843768684157,-0.0010192432583683297
r2_ge_0p600,1Y,0.7459146224545337,-20.863229751350975,-0.08718047164941678,4.03327479940182,2.447622148357737,-0.3886983579633396,124,-90,0.07766032049979814,0.003932942913607712
r2_ge_0p700,from_2020,0.21218729281051818,-37.61192746745004,-0.2293307768121854,-4.879019772497495,1.0228380490684614,-0.8759517533756751,465,-804,0.3573892561469217,-0.051526832237330955
r2_ge_0p700,5Y,0.28770793347982493,-35.60978438798568,-0.1327399248504837,4.780065423672686,1.3840608461970771,-0.6849111507647843,329,-631,0.27213945335439044,-0.05028145553542107
r2_ge_0p700,3Y,0.43432879993994566,-58.29076200487222,-0.1327399248504837,3.276607215166183,1.7981836880489688,-0.9644742573287535,239,-372,0.1716394533543904,-0.020008227590819494
r2_ge_0p700,1Y,0.41313807473217046,-54.140884523587296,-0.09573360961425148,3.1779610029183503,1.9980002604984326,-0.8383202458226442,69,-145,0.07049189623056482,-0.0032354813556256107
